PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
05Ordenacao;ds.seed9006.AllSmart;49;0;0;49;196
06Fibonacci;ds.seed9006.AllSmart;23;0;0;23;5981
07Fibonacci;ds.seed9006.AllSmart;44;0;0;44;191
08MaxMin;ds.seed9006.AllSmart;42;0;0;42;194
09Ordenacao;ds.seed9006.AllSmart;28;0;0;28;212
10AvaliaMultMatrizes;ds.seed9006.AllSmart;38;0;0;38;206
11ListArray;ds.seed9006.AllSmart;93;0;0;93;212
12Lista;ds.seed9006.AllSmart;74;0;1;75;206
13Pilha;ds.seed9006.AllSmart;82;0;1;83;213
14Pilha;ds.seed9006.AllSmart;72;0;0;72;210
15Fila;ds.seed9006.AllSmart;81;0;0;81;223
16Fila;ds.seed9006.AllSmart;70;0;0;70;210
17Ordenacao;ds.seed9006.AllSmart;66;0;0;66;227
18FPHeapMax;ds.seed9006.AllSmart;147;0;0;147;244
19FPHeapMin;ds.seed9006.AllSmart;142;0;1;143;240
20Tabela;ds.seed9006.AllSmart;8;1;0;9;208
21ArvoreBinaria;ds.seed9006.AllSmart;24;0;1;25;223
22TabelaHash;ds.seed9006.AllSmart;101;0;1;102;244
23TabelaHash;ds.seed9006.AllSmart;94;0;0;94;243
24Grafo;ds.seed9006.AllSmart;58;0;0;58;425
25Grafo;ds.seed9006.AllSmart;127;0;0;127;242
26Grafo;ds.seed9006.AllSmart;92;2;0;94;230
27Grafo;ds.seed9006.AllSmart;163;0;0;163;287
28BuscaEmLargura;ds.seed9006.AllSmart;111;0;1;112;284
29Grafo;ds.seed9006.AllSmart;144;0;0;144;350
30Lista;ds.seed9006.AllSmart;8;0;0;8;245
31CasamentoExato;ds.seed9006.AllSmart;359;0;0;359;286
32CasamentoAproximado;ds.seed9006.AllSmart;366;0;0;366;239
33Identifier;ds.seed9006.AllSmart;40;0;0;40;200
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed9121.AllSmart;12;0;0;12;197
02MaxMin;ds.seed9121.AllSmart;37;0;0;37;198
03MaxMin;ds.seed9121.AllSmart;51;0;0;51;205
04MaxMin;ds.seed9121.AllSmart;50;0;0;50;200
05Ordenacao;ds.seed9121.AllSmart;41;0;0;41;203
06Fibonacci;ds.seed9121.AllSmart;39;0;0;39;6084
07Fibonacci;ds.seed9121.AllSmart;29;0;0;29;8495
08MaxMin;ds.seed9121.AllSmart;43;0;0;43;212
09Ordenacao;ds.seed9121.AllSmart;24;0;0;24;210
10AvaliaMultMatrizes;ds.seed9121.AllSmart;21;0;0;21;205
11ListArray;ds.seed9121.AllSmart;49;0;0;49;206
12Lista;ds.seed9121.AllSmart;68;0;0;68;239
13Pilha;ds.seed9121.AllSmart;55;0;0;55;245
14Pilha;ds.seed9121.AllSmart;67;0;1;68;230
15Fila;ds.seed9121.AllSmart;93;0;0;93;216
16Fila;ds.seed9121.AllSmart;68;0;1;69;211
17Ordenacao;ds.seed9121.AllSmart;73;0;0;73;239
18FPHeapMax;ds.seed9121.AllSmart;166;0;0;166;227
19FPHeapMin;ds.seed9121.AllSmart;127;0;0;127;228
20Tabela;ds.seed9121.AllSmart;9;0;0;9;197
21ArvoreBinaria;ds.seed9121.AllSmart;26;0;2;28;218
22TabelaHash;ds.seed9121.AllSmart;109;0;1;110;271
23TabelaHash;ds.seed9121.AllSmart;101;0;0;101;231
24Grafo;ds.seed9121.AllSmart;59;0;0;59;376
25Grafo;ds.seed9121.AllSmart;89;0;0;89;267
26Grafo;ds.seed9121.AllSmart;121;0;0;121;332
27Grafo;ds.seed9121.AllSmart;120;0;0;120;299
28BuscaEmLargura;ds.seed9121.AllSmart;190;0;0;190;296
29Grafo;ds.seed9121.AllSmart;135;0;0;135;345
30Lista;ds.seed9121.AllSmart;7;0;0;7;256
31CasamentoExato;ds.seed9121.AllSmart;337;0;0;337;279
32CasamentoAproximado;ds.seed9121.AllSmart;344;0;0;344;251
33Identifier;ds.seed9121.AllSmart;131;0;0;131;214
