PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5482.Palus;6;0;0;6;7
02MaxMin;ds.seed5482.Palus;17;0;0;17;10
03MaxMin;ds.seed5482.Palus;20;0;0;20;10
04MaxMin;ds.seed5482.Palus;41;0;0;41;14
05Ordenacao;ds.seed5482.Palus;32;0;0;32;13
06Fibonacci;ds.seed5482.Palus;16;0;0;16;1493
07Fibonacci;ds.seed5482.Palus;39;0;0;39;15
08MaxMin;ds.seed5482.Palus;27;0;0;27;13
09Ordenacao;ds.seed5482.Palus;18;0;0;18;17
10AvaliaMultMatrizes;ds.seed5482.Palus;30;0;0;30;13
11ListArray;ds.seed5482.Palus;52;0;0;52;20
12Lista;ds.seed5482.Palus;76;0;0;76;22
13Pilha;ds.seed5482.Palus;73;0;0;73;21
14Pilha;ds.seed5482.Palus;91;0;0;91;28
15Fila;ds.seed5482.Palus;59;0;0;59;23
16Fila;ds.seed5482.Palus;82;0;0;82;25
17Ordenacao;ds.seed5482.Palus;40;0;0;40;16
18FPHeapMax;ds.seed5482.Palus;134;0;0;134;34
19FPHeapMin;ds.seed5482.Palus;90;0;0;90;21
20Tabela;ds.seed5482.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed5482.Palus;1;0;0;1;8
22TabelaHash;ds.seed5482.Palus;89;0;0;89;26
23TabelaHash;ds.seed5482.Palus;72;0;0;72;35
24Grafo;ds.seed5482.Palus;29;0;0;29;93
25Grafo;ds.seed5482.Palus;100;0;0;100;38
26Grafo;ds.seed5482.Palus;68;0;0;68;70
27Grafo;ds.seed5482.Palus;93;0;0;93;50
28BuscaEmLargura;ds.seed5482.Palus;87;0;0;87;76
29Grafo;ds.seed5482.Palus;141;0;0;141;82
30Lista;ds.seed5482.Palus;1;0;0;1;6
31CasamentoExato;ds.seed5482.Palus;308;0;0;308;48
32CasamentoAproximado;ds.seed5482.Palus;315;0;0;315;45
33Identifier;ds.seed5482.Palus;156;0;0;156;32
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5503.Palus;6;0;0;6;9
02MaxMin;ds.seed5503.Palus;20;0;0;20;10
03MaxMin;ds.seed5503.Palus;24;0;0;24;13
04MaxMin;ds.seed5503.Palus;44;0;0;44;15
05Ordenacao;ds.seed5503.Palus;39;0;0;39;15
06Fibonacci;ds.seed5503.Palus;13;0;0;13;1451
07Fibonacci;ds.seed5503.Palus;25;0;0;25;11
08MaxMin;ds.seed5503.Palus;55;0;0;55;17
09Ordenacao;ds.seed5503.Palus;14;0;0;14;15
10AvaliaMultMatrizes;ds.seed5503.Palus;30;0;0;30;12
11ListArray;ds.seed5503.Palus;69;0;0;69;23
12Lista;ds.seed5503.Palus;59;0;0;59;21
13Pilha;ds.seed5503.Palus;77;0;0;77;25
14Pilha;ds.seed5503.Palus;107;0;0;107;29
15Fila;ds.seed5503.Palus;67;0;0;67;25
16Fila;ds.seed5503.Palus;69;0;0;69;22
17Ordenacao;ds.seed5503.Palus;38;0;0;38;15
18FPHeapMax;ds.seed5503.Palus;134;0;0;134;25
19FPHeapMin;ds.seed5503.Palus;104;0;0;104;22
20Tabela;ds.seed5503.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed5503.Palus;1;0;0;1;6
22TabelaHash;ds.seed5503.Palus;73;0;0;73;23
23TabelaHash;ds.seed5503.Palus;82;0;0;82;27
24Grafo;ds.seed5503.Palus;27;0;0;27;76
25Grafo;ds.seed5503.Palus;48;0;0;48;28
26Grafo;ds.seed5503.Palus;71;0;0;71;57
27Grafo;ds.seed5503.Palus;105;0;0;105;60
28BuscaEmLargura;ds.seed5503.Palus;110;0;0;110;82
29Grafo;ds.seed5503.Palus;122;0;0;122;90
30Lista;ds.seed5503.Palus;1;0;0;1;6
31CasamentoExato;ds.seed5503.Palus;313;0;0;313;47
32CasamentoAproximado;ds.seed5503.Palus;339;0;0;339;35
33Identifier;ds.seed5503.Palus;137;0;0;137;27
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5831.Palus;6;0;0;6;7
02MaxMin;ds.seed5831.Palus;20;0;0;20;11
03MaxMin;ds.seed5831.Palus;21;0;0;21;10
04MaxMin;ds.seed5831.Palus;38;0;0;38;18
05Ordenacao;ds.seed5831.Palus;29;0;0;29;12
06Fibonacci;ds.seed5831.Palus;31;0;0;31;12
07Fibonacci;ds.seed5831.Palus;31;0;0;31;1495
08MaxMin;ds.seed5831.Palus;14;0;0;14;9
09Ordenacao;ds.seed5831.Palus;18;0;0;18;15
10AvaliaMultMatrizes;ds.seed5831.Palus;35;0;0;35;14
11ListArray;ds.seed5831.Palus;42;0;0;42;19
12Lista;ds.seed5831.Palus;75;0;0;75;21
13Pilha;ds.seed5831.Palus;72;0;0;72;23
14Pilha;ds.seed5831.Palus;79;0;0;79;31
15Fila;ds.seed5831.Palus;56;0;0;56;21
16Fila;ds.seed5831.Palus;79;0;0;79;19
17Ordenacao;ds.seed5831.Palus;33;0;0;33;15
18FPHeapMax;ds.seed5831.Palus;145;0;0;145;28
19FPHeapMin;ds.seed5831.Palus;99;0;0;99;29
20Tabela;ds.seed5831.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed5831.Palus;2;0;0;2;7
22TabelaHash;ds.seed5831.Palus;128;0;0;128;33
23TabelaHash;ds.seed5831.Palus;98;0;0;98;33
24Grafo;ds.seed5831.Palus;23;0;0;23;80
25Grafo;ds.seed5831.Palus;82;0;0;82;42
26Grafo;ds.seed5831.Palus;58;0;0;58;87
27Grafo;ds.seed5831.Palus;83;0;0;83;95
28BuscaEmLargura;ds.seed5831.Palus;95;0;0;95;77
29Grafo;ds.seed5831.Palus;175;0;0;175;77
30Lista;ds.seed5831.Palus;1;0;0;1;7
31CasamentoExato;ds.seed5831.Palus;305;0;0;305;46
32CasamentoAproximado;ds.seed5831.Palus;328;0;0;328;35
33Identifier;ds.seed5831.Palus;131;0;0;131;30
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5838.Palus;6;0;0;6;8
02MaxMin;ds.seed5838.Palus;24;0;0;24;13
03MaxMin;ds.seed5838.Palus;36;0;0;36;14
04MaxMin;ds.seed5838.Palus;28;0;0;28;16
05Ordenacao;ds.seed5838.Palus;22;0;0;22;11
06Fibonacci;ds.seed5838.Palus;30;0;0;30;1471
07Fibonacci;ds.seed5838.Palus;11;0;0;11;1475
08MaxMin;ds.seed5838.Palus;36;0;0;36;14
09Ordenacao;ds.seed5838.Palus;13;0;0;13;12
10AvaliaMultMatrizes;ds.seed5838.Palus;33;0;0;33;16
11ListArray;ds.seed5838.Palus;70;0;0;70;30
12Lista;ds.seed5838.Palus;84;0;0;84;21
13Pilha;ds.seed5838.Palus;96;0;0;96;28
14Pilha;ds.seed5838.Palus;53;0;0;53;21
15Fila;ds.seed5838.Palus;76;0;0;76;21
